survived,age,sibsp,parch,fare,class,sex_male,alone_True,embark_town_Cherbourg,embark_town_Queenstown,embark_town_Southampton
0,22.0,1,0,7.25,3,True,False,False,False,True
1,38.0,1,0,71.2833,1,False,False,True,False,False
1,26.0,0,0,7.925,3,False,True,False,False,True
1,35.0,1,0,53.1,1,False,False,False,False,True
0,35.0,0,0,8.05,3,True,True,False,False,True
0,28.0,0,0,8.4583,3,True,True,False,True,False
0,54.0,0,0,51.8625,1,True,True,False,False,True
0,2.0,3,1,21.075,3,True,False,False,False,True
1,27.0,0,2,11.1333,3,False,False,False,False,True
1,14.0,1,0,30.0708,2,False,False,True,False,False
1,4.0,1,1,16.7,3,False,False,False,False,True
1,58.0,0,0,26.55,1,False,True,False,False,True
0,20.0,0,0,8.05,3,True,True,False,False,True
0,39.0,1,5,31.275,3,True,False,False,False,True
0,14.0,0,0,7.8542,3,False,True,False,False,True
1,55.0,0,0,16.0,2,False,True,False,False,True
0,2.0,4,1,29.125,3,True,False,False,True,False
1,28.0,0,0,13.0,2,True,True,False,False,True
0,31.0,1,0,18.0,3,False,False,False,False,True
1,28.0,0,0,7.225,3,False,True,True,False,False
0,35.0,0,0,26.0,2,True,True,False,False,True
1,34.0,0,0,13.0,2,True,True,False,False,True
1,15.0,0,0,8.0292,3,False,True,False,True,False
1,28.0,0,0,35.5,1,True,True,False,False,True
0,8.0,3,1,21.075,3,False,False,False,False,True
1,38.0,1,5,31.3875,3,False,False,False,False,True
0,28.0,0,0,7.225,3,True,True,True,False,False
0,19.0,3,2,111.18226250000001,1,True,False,False,False,True
1,28.0,0,0,7.8792,3,False,True,False,True,False
0,28.0,0,0,7.8958,3,True,True,False,False,True
0,40.0,0,0,27.7208,1,True,True,True,False,False
1,28.0,1,0,111.18226250000001,1,False,False,True,False,False
1,28.0,0,0,7.75,3,False,True,False,True,False
0,66.0,0,0,10.5,2,True,True,False,False,True
0,28.0,1,0,82.1708,1,True,False,True,False,False
0,42.0,1,0,52.0,1,True,False,False,False,True
1,28.0,0,0,7.2292,3,True,True,True,False,False
0,21.0,0,0,8.05,3,True,True,False,False,True
0,18.0,2,0,18.0,3,False,False,False,False,True
1,14.0,1,0,11.2417,3,False,False,True,False,False
0,40.0,1,0,9.475,3,False,False,False,False,True
0,27.0,1,0,21.0,2,False,False,False,False,True
0,28.0,0,0,7.8958,3,True,True,True,False,False
1,3.0,1,2,41.5792,2,False,False,True,False,False
1,19.0,0,0,7.8792,3,False,True,False,True,False
0,28.0,0,0,8.05,3,True,True,False,False,True
0,28.0,1,0,15.5,3,True,False,False,True,False
1,28.0,0,0,7.75,3,False,True,False,True,False
0,28.0,2,0,21.6792,3,True,False,True,False,False
0,18.0,1,0,17.8,3,False,False,False,False,True
0,7.0,4,1,39.6875,3,True,False,False,False,True
0,21.0,0,0,7.8,3,True,True,False,False,True
1,49.0,1,0,76.7292,1,False,False,True,False,False
1,29.0,1,0,26.0,2,False,False,False,False,True
0,65.0,0,1,61.9792,1,True,False,True,False,False
1,28.0,0,0,35.5,1,True,True,False,False,True
1,21.0,0,0,10.5,2,False,True,False,False,True
0,28.5,0,0,7.2292,3,True,True,True,False,False
1,5.0,1,2,27.75,2,False,False,False,False,True
0,11.0,5,2,46.9,3,True,False,False,False,True
0,22.0,0,0,7.2292,3,True,True,True,False,False
0,45.0,1,0,83.475,1,True,False,False,False,True
0,4.0,3,2,27.9,3,True,False,False,False,True
0,28.0,0,0,27.7208,1,True,True,True,False,False
1,28.0,1,1,15.2458,3,True,False,True,False,False
1,29.0,0,0,10.5,2,False,True,False,False,True
0,19.0,0,0,8.1583,3,True,True,False,False,True
1,17.0,4,2,7.925,3,False,False,False,False,True
0,26.0,2,0,8.6625,3,True,False,False,False,True
0,32.0,0,0,10.5,2,True,True,False,False,True
0,16.0,5,2,46.9,3,False,False,False,False,True
0,21.0,0,0,73.5,2,True,True,False,False,True
0,26.0,1,0,14.4542,3,True,False,True,False,False
1,32.0,0,0,56.4958,3,True,True,False,False,True
0,25.0,0,0,7.65,3,True,True,False,False,True
0,28.0,0,0,7.8958,3,True,True,False,False,True
0,28.0,0,0,8.05,3,True,True,False,False,True
1,0.83,0,2,29.0,2,True,False,False,False,True
1,30.0,0,0,12.475,3,False,True,False,False,True
0,22.0,0,0,9.0,3,True,True,False,False,True
1,29.0,0,0,9.5,3,True,True,False,False,True
1,28.0,0,0,7.7875,3,False,True,False,True,False
0,28.0,0,0,47.1,1,True,True,False,False,True
1,17.0,0,0,10.5,2,False,True,False,False,True
1,33.0,3,0,15.85,3,False,False,False,False,True
0,16.0,1,3,34.375,3,True,False,False,False,True
0,28.0,0,0,8.05,3,True,True,False,False,True
1,23.0,3,2,111.18226250000001,1,False,False,False,False,True
0,24.0,0,0,8.05,3,True,True,False,False,True
0,29.0,0,0,8.05,3,True,True,False,False,True
0,20.0,0,0,7.8542,3,True,True,False,False,True
0,46.0,1,0,61.175,1,True,False,False,False,True
0,26.0,1,2,20.575,3,True,False,False,False,True
0,59.0,0,0,7.25,3,True,True,False,False,True
0,28.0,0,0,8.05,3,True,True,False,False,True
0,71.0,0,0,34.6542,1,True,True,True,False,False
1,23.0,0,1,63.3583,1,True,False,True,False,False
1,34.0,0,1,23.0,2,False,False,False,False,True
0,34.0,1,0,26.0,2,True,False,False,False,True
0,28.0,0,0,7.8958,3,False,True,False,False,True
0,28.0,0,0,7.8958,3,True,True,False,False,True
0,21.0,0,1,77.2875,1,True,False,False,False,True
0,33.0,0,0,8.6542,3,True,True,False,False,True
0,37.0,2,0,7.925,3,True,False,False,False,True
0,28.0,0,0,7.8958,3,True,True,False,False,True
1,21.0,0,0,7.65,3,False,True,False,False,True
1,28.0,0,0,7.775,3,True,True,False,False,True
0,38.0,0,0,7.8958,3,True,True,False,False,True
1,28.0,1,0,24.15,3,False,False,False,True,False
0,47.0,0,0,52.0,1,True,True,False,False,True
0,14.5,1,0,14.4542,3,False,False,True,False,False
0,22.0,0,0,8.05,3,True,True,False,False,True
0,20.0,1,0,9.825,3,False,False,False,False,True
0,17.0,0,0,14.4583,3,False,True,True,False,False
0,21.0,0,0,7.925,3,True,True,False,False,True
0,70.5,0,0,7.75,3,True,True,False,True,False
0,29.0,1,0,21.0,2,True,False,False,False,True
0,24.0,0,1,111.18226250000001,1,True,False,True,False,False
0,2.0,4,2,31.275,3,False,False,False,False,True
0,21.0,2,0,73.5,2,True,False,False,False,True
0,28.0,0,0,8.05,3,True,True,False,False,True
0,32.5,1,0,30.0708,2,True,False,True,False,False
1,32.5,0,0,13.0,2,False,True,False,False,True
0,54.0,0,1,77.2875,1,True,False,False,False,True
1,12.0,1,0,11.2417,3,True,False,True,False,False
0,28.0,0,0,7.75,3,True,True,False,True,False
1,24.0,0,0,7.1417,3,True,True,False,False,True
1,28.0,1,1,22.3583,3,False,False,True,False,False
0,45.0,0,0,6.975,3,True,True,False,False,True
0,33.0,0,0,7.8958,3,True,True,True,False,False
0,20.0,0,0,7.05,3,True,True,False,False,True
0,47.0,1,0,14.5,3,False,False,False,False,True
1,29.0,1,0,26.0,2,False,False,False,False,True
0,25.0,0,0,13.0,2,True,True,False,False,True
0,23.0,0,0,15.0458,2,True,True,True,False,False
1,19.0,0,2,26.2833,1,False,False,False,False,True
0,37.0,1,0,53.1,1,True,False,False,False,True
0,16.0,0,0,9.2167,3,True,True,False,False,True
0,24.0,0,0,79.2,1,True,True,True,False,False
0,28.0,0,2,15.2458,3,False,False,True,False,False
1,22.0,0,0,7.75,3,False,True,False,False,True
1,24.0,1,0,15.85,3,False,False,False,False,True
0,19.0,0,0,6.75,3,True,True,False,True,False
0,18.0,0,0,11.5,2,True,True,False,False,True
0,19.0,1,1,36.75,2,True,False,False,False,True
1,27.0,0,0,7.7958,3,True,True,False,False,True
0,9.0,2,2,34.375,3,False,False,False,False,True
0,36.5,0,2,26.0,2,True,False,False,False,True
0,42.0,0,0,13.0,2,True,True,False,False,True
0,51.0,0,0,12.525,2,True,True,False,False,True
1,22.0,1,0,66.6,1,False,False,False,False,True
0,55.5,0,0,8.05,3,True,True,False,False,True
0,40.5,0,2,14.5,3,True,False,False,False,True
0,28.0,0,0,7.3125,3,True,True,False,False,True
0,51.0,0,1,61.3792,1,True,False,True,False,False
1,16.0,0,0,7.7333,3,False,True,False,True,False
0,30.0,0,0,8.05,3,True,True,False,False,True
0,28.0,0,0,8.6625,3,True,True,False,False,True
0,28.0,8,2,69.55,3,True,False,False,False,True
0,44.0,0,1,16.1,3,True,False,False,False,True
1,40.0,0,0,15.75,2,False,True,False,False,True
0,26.0,0,0,7.775,3,True,True,False,False,True
0,17.0,0,0,8.6625,3,True,True,False,False,True
0,1.0,4,1,39.6875,3,True,False,False,False,True
1,9.0,0,2,20.525,3,True,False,False,False,True
1,28.0,0,1,55.0,1,False,False,False,False,True
0,45.0,1,4,27.9,3,False,False,False,False,True
0,28.0,0,0,25.925,1,True,True,False,False,True
0,28.0,0,0,56.4958,3,True,True,False,False,True
0,61.0,0,0,33.5,1,True,True,False,False,True
0,4.0,4,1,29.125,3,True,False,False,True,False
1,1.0,1,1,11.1333,3,False,False,False,False,True
0,21.0,0,0,7.925,3,True,True,False,False,True
0,56.0,0,0,30.6958,1,True,True,True,False,False
0,18.0,1,1,7.8542,3,True,False,False,False,True
0,28.0,3,1,25.4667,3,True,False,False,False,True
0,50.0,0,0,28.7125,1,False,True,True,False,False
0,30.0,0,0,13.0,2,True,True,False,False,True
0,36.0,0,0,0.0,3,True,True,False,False,True
0,28.0,8,2,69.55,3,False,False,False,False,True
0,28.0,0,0,15.05,2,True,True,True,False,False
0,9.0,4,2,31.3875,3,True,False,False,False,True
1,1.0,2,1,39.0,2,True,False,False,False,True
1,4.0,0,2,22.025,3,False,False,False,False,True
0,28.0,0,0,50.0,1,True,True,False,False,True
1,28.0,1,0,15.5,3,False,False,False,True,False
1,45.0,0,0,26.55,1,True,True,False,False,True
0,40.0,1,1,15.5,3,True,False,False,True,False
0,36.0,0,0,7.8958,3,True,True,False,False,True
1,32.0,0,0,13.0,2,False,True,False,False,True
0,19.0,0,0,13.0,2,True,True,False,False,True
1,19.0,1,0,7.8542,3,False,False,False,False,True
1,3.0,1,1,26.0,2,True,False,False,False,True
1,44.0,0,0,27.7208,1,False,True,True,False,False
1,58.0,0,0,111.18226250000001,1,False,True,True,False,False
0,28.0,0,0,7.75,3,True,True,False,True,False
0,42.0,0,1,8.4042,3,True,False,False,False,True
1,28.0,0,0,7.75,3,False,True,False,True,False
0,24.0,0,0,13.0,2,False,True,False,False,True
0,28.0,0,0,9.5,3,True,True,False,False,True
0,28.0,8,2,69.55,3,True,False,False,False,True
0,34.0,0,0,6.4958,3,True,True,False,False,True
0,45.5,0,0,7.225,3,True,True,True,False,False
1,18.0,0,0,8.05,3,True,True,False,False,True
0,2.0,0,1,10.4625,3,False,False,False,False,True
0,32.0,1,0,15.85,3,True,False,False,False,True
1,26.0,0,0,18.7875,3,True,True,True,False,False
1,16.0,0,0,7.75,3,False,True,False,True,False
1,40.0,0,0,31.0,1,True,True,True,False,False
0,24.0,0,0,7.05,3,True,True,False,False,True
1,35.0,0,0,21.0,2,False,True,False,False,True
0,22.0,0,0,7.25,3,True,True,False,False,True
0,30.0,0,0,13.0,2,True,True,False,False,True
0,28.0,1,0,7.75,3,True,False,False,True,False
1,31.0,1,0,111.18226250000001,1,False,False,True,False,False
1,27.0,0,0,7.925,3,False,True,False,False,True
0,42.0,1,0,27.0,2,True,False,False,False,True
1,32.0,0,0,76.2917,1,False,True,True,False,False
0,30.0,0,0,10.5,2,True,True,False,False,True
1,16.0,0,0,8.05,3,True,True,False,False,True
0,27.0,0,0,13.0,2,True,True,False,False,True
0,51.0,0,0,8.05,3,True,True,False,False,True
0,28.0,0,0,7.8958,3,True,True,False,False,True
1,38.0,1,0,90.0,1,True,False,False,False,True
0,22.0,0,0,9.35,3,True,True,False,False,True
1,19.0,0,0,10.5,2,True,True,False,False,True
0,20.5,0,0,7.25,3,True,True,False,False,True
0,18.0,0,0,13.0,2,True,True,False,False,True
0,28.0,3,1,25.4667,3,False,False,False,False,True
1,35.0,1,0,83.475,1,False,False,False,False,True
0,29.0,0,0,7.775,3,True,True,False,False,True
0,59.0,0,0,13.5,2,True,True,False,False,True
1,5.0,4,2,31.3875,3,False,False,False,False,True
0,24.0,0,0,10.5,2,True,True,False,False,True
0,28.0,0,0,7.55,3,False,True,False,False,True
0,44.0,1,0,26.0,2,True,False,False,False,True
1,8.0,0,2,26.25,2,False,False,False,False,True
0,19.0,0,0,10.5,2,True,True,False,False,True
0,33.0,0,0,12.275,2,True,True,False,False,True
0,28.0,1,0,14.4542,3,False,False,True,False,False
1,28.0,1,0,15.5,3,False,False,False,True,False
0,29.0,0,0,10.5,2,True,True,False,False,True
0,22.0,0,0,7.125,3,True,True,False,False,True
0,30.0,0,0,7.225,3,True,True,True,False,False
0,44.0,2,0,90.0,1,True,False,False,True,False
0,25.0,0,0,7.775,3,False,True,False,False,True
1,24.0,0,2,14.5,2,False,False,False,False,True
1,37.0,1,1,52.5542,1,True,False,False,False,True
0,54.0,1,0,26.0,2,True,False,False,False,True
0,28.0,0,0,7.25,3,True,True,False,False,True
0,29.0,1,1,10.4625,3,False,False,False,False,True
0,62.0,0,0,26.55,1,True,True,False,False,True
0,30.0,1,0,16.1,3,True,False,False,False,True
0,41.0,0,2,20.2125,3,False,False,False,False,True
1,29.0,0,2,15.2458,3,False,False,True,False,False
1,28.0,0,0,79.2,1,False,True,True,False,False
1,30.0,0,0,86.5,1,False,True,False,False,True
1,35.0,0,0,111.18226250000001,1,False,True,True,False,False
1,50.0,0,1,26.0,2,False,False,False,False,True
0,28.0,0,0,7.75,3,True,True,False,True,False
1,3.0,4,2,31.3875,3,True,False,False,False,True
0,52.0,1,1,79.65,1,True,False,False,False,True
0,40.0,0,0,0.0,1,True,True,False,False,True
0,28.0,0,0,7.75,3,False,True,False,True,False
0,36.0,0,0,10.5,2,True,True,False,False,True
0,16.0,4,1,39.6875,3,True,False,False,False,True
1,25.0,1,0,7.775,3,True,False,False,False,True
1,58.0,0,1,111.18226250000001,1,False,False,False,False,True
1,35.0,0,0,111.18226250000001,1,False,True,False,False,True
0,28.0,0,0,31.0,1,True,True,False,False,True
1,25.0,0,0,0.0,3,True,True,False,False,True
1,41.0,0,1,19.5,2,False,False,False,False,True
0,37.0,0,1,29.7,1,True,False,True,False,False
1,28.0,0,0,7.75,3,False,True,False,True,False
1,63.0,1,0,77.9583,1,False,False,False,False,True
0,45.0,0,0,7.75,3,False,True,False,False,True
0,28.0,0,0,0.0,2,True,True,False,False,True
0,7.0,4,1,29.125,3,True,False,False,True,False
1,35.0,1,1,20.25,3,False,False,False,False,True
0,65.0,0,0,7.75,3,True,True,False,True,False
0,28.0,0,0,7.8542,3,True,True,False,False,True
0,16.0,0,0,9.5,3,True,True,False,False,True
1,19.0,0,0,8.05,3,True,True,False,False,True
0,28.0,0,0,26.0,1,True,True,False,False,True
0,33.0,0,0,8.6625,3,True,True,True,False,False
1,30.0,0,0,9.5,3,True,True,False,False,True
0,22.0,0,0,7.8958,3,True,True,False,False,True
1,42.0,0,0,13.0,2,True,True,False,False,True
1,22.0,0,0,7.75,3,False,True,False,True,False
1,26.0,0,0,78.85,1,False,True,False,False,True
1,19.0,1,0,91.0792,1,False,False,True,False,False
0,36.0,0,0,12.875,2,True,True,True,False,False
0,24.0,0,0,8.85,3,False,True,False,False,True
0,24.0,0,0,7.8958,3,True,True,False,False,True
0,28.0,0,0,27.7208,1,True,True,True,False,False
0,23.5,0,0,7.2292,3,True,True,True,False,False
0,2.0,1,2,111.18226250000001,1,False,False,False,False,True
1,28.0,0,0,30.5,1,True,True,False,False,True
1,50.0,0,1,111.18226250000001,1,False,False,True,False,False
1,28.0,0,0,7.75,3,False,True,False,True,False
1,28.0,2,0,23.25,3,True,False,False,True,False
0,19.0,0,0,0.0,3,True,True,False,False,True
1,28.0,0,0,12.35,2,False,True,False,True,False
0,28.0,0,0,8.05,3,True,True,False,False,True
1,0.92,1,2,111.18226250000001,1,True,False,False,False,True
1,28.0,0,0,110.8833,1,False,True,True,False,False
1,17.0,1,0,108.9,1,False,False,True,False,False
0,30.0,1,0,24.0,2,True,False,True,False,False
1,30.0,0,0,56.9292,1,False,True,True,False,False
1,24.0,0,0,83.1583,1,False,True,True,False,False
1,18.0,2,2,111.18226250000001,1,False,False,True,False,False
0,26.0,1,1,26.0,2,False,False,False,False,True
0,28.0,0,0,7.8958,3,True,True,False,False,True
0,43.0,1,1,26.25,2,True,False,False,False,True
1,26.0,0,0,7.8542,3,False,True,False,False,True
1,24.0,1,0,26.0,2,False,False,False,False,True
0,54.0,0,0,14.0,2,True,True,False,False,True
1,31.0,0,2,111.18226250000001,1,False,False,False,False,True
1,40.0,1,1,111.18226250000001,1,False,False,True,False,False
0,22.0,0,0,7.25,3,True,True,False,False,True
0,27.0,0,0,7.8958,3,True,True,False,False,True
1,30.0,0,0,12.35,2,False,True,False,True,False
1,22.0,1,1,29.0,2,False,False,False,False,True
0,28.0,8,2,69.55,3,True,False,False,False,True
1,36.0,0,0,111.18226250000001,1,False,True,True,False,False
0,61.0,0,0,6.2375,3,True,True,False,False,True
1,36.0,0,0,13.0,2,False,True,False,False,True
1,31.0,1,1,20.525,3,False,False,False,False,True
1,16.0,0,1,57.9792,1,False,False,True,False,False
1,28.0,2,0,23.25,3,False,False,False,True,False
0,45.5,0,0,28.5,1,True,True,False,False,True
0,38.0,0,1,111.18226250000001,1,True,False,False,False,True
0,16.0,2,0,18.0,3,True,False,False,False,True
1,28.0,1,0,111.18226250000001,1,False,False,False,False,True
0,28.0,0,0,7.8958,3,True,True,False,False,True
0,29.0,1,0,66.6,1,True,False,False,False,True
1,41.0,0,0,111.18226250000001,1,False,True,True,False,False
1,45.0,0,0,8.05,3,True,True,False,False,True
0,45.0,0,0,35.5,1,True,True,False,False,True
1,2.0,1,1,26.0,2,True,False,False,False,True
1,24.0,3,2,111.18226250000001,1,False,False,False,False,True
0,28.0,0,0,13.0,2,True,True,False,False,True
0,25.0,0,0,13.0,2,True,True,False,False,True
0,36.0,0,0,13.0,2,True,True,False,False,True
1,24.0,0,0,13.0,2,False,True,False,False,True
1,40.0,0,0,13.0,2,False,True,False,False,True
1,28.0,1,0,16.1,3,False,False,False,False,True
1,3.0,1,1,15.9,3,True,False,False,False,True
0,42.0,0,0,8.6625,3,True,True,False,False,True
0,23.0,0,0,9.225,3,True,True,False,False,True
0,28.0,0,0,35.0,1,True,True,False,False,True
0,15.0,1,1,7.2292,3,True,False,True,False,False
0,25.0,1,0,17.8,3,True,False,False,False,True
0,28.0,0,0,7.225,3,True,True,True,False,False
0,28.0,0,0,9.5,3,True,True,False,False,True
1,22.0,0,1,55.0,1,False,False,False,False,True
0,38.0,0,0,13.0,2,False,True,False,False,True
1,28.0,0,0,7.8792,3,False,True,False,True,False
1,28.0,0,0,7.8792,3,False,True,False,True,False
0,40.0,1,4,27.9,3,True,False,False,False,True
0,29.0,1,0,27.7208,2,True,False,True,False,False
0,45.0,0,1,14.4542,3,False,False,True,False,False
0,35.0,0,0,7.05,3,True,True,False,False,True
0,28.0,1,0,15.5,3,True,False,False,True,False
0,30.0,0,0,7.25,3,True,True,False,False,True
1,60.0,1,0,75.25,1,False,False,True,False,False
1,28.0,0,0,7.2292,3,False,True,True,False,False
1,28.0,0,0,7.75,3,False,True,False,True,False
1,24.0,0,0,69.3,1,False,True,True,False,False
1,25.0,1,0,55.4417,1,True,False,True,False,False
0,18.0,1,0,6.4958,3,True,False,False,False,True
0,19.0,0,0,8.05,3,True,True,False,False,True
0,22.0,0,0,111.18226250000001,1,True,True,True,False,False
0,3.0,3,1,21.075,3,False,False,False,False,True
1,28.0,1,0,82.1708,1,False,False,True,False,False
1,22.0,0,0,7.25,3,False,True,False,False,True
0,27.0,0,2,111.18226250000001,1,True,False,True,False,False
0,20.0,0,0,4.0125,3,True,True,True,False,False
0,19.0,0,0,7.775,3,True,True,False,False,True
1,42.0,0,0,111.18226250000001,1,False,True,True,False,False
1,1.0,0,2,15.7417,3,False,False,True,False,False
0,32.0,0,0,7.925,3,True,True,False,False,True
1,35.0,1,0,52.0,1,False,False,False,False,True
0,28.0,0,0,7.8958,3,True,True,False,False,True
0,18.0,0,0,73.5,2,True,True,False,False,True
0,1.0,5,2,46.9,3,True,False,False,False,True
1,36.0,0,0,13.0,2,False,True,False,False,True
0,28.0,0,0,7.7292,3,True,True,False,True,False
1,17.0,0,0,12.0,2,False,True,True,False,False
1,36.0,1,2,111.18226250000001,1,True,False,False,False,True
1,21.0,0,0,7.7958,3,True,True,False,False,True
0,28.0,2,0,7.925,3,True,False,False,False,True
1,23.0,1,0,111.18226250000001,1,False,False,True,False,False
1,24.0,0,2,16.7,3,False,False,False,False,True
0,22.0,0,0,7.7958,3,True,True,False,False,True
0,31.0,0,0,7.8542,3,False,True,False,False,True
0,46.0,0,0,26.0,2,True,True,False,False,True
0,23.0,0,0,10.5,2,True,True,False,False,True
1,28.0,0,0,12.65,2,False,True,False,False,True
1,39.0,0,0,7.925,3,True,True,False,False,True
0,26.0,0,0,8.05,3,True,True,False,False,True
0,21.0,1,0,9.825,3,False,False,False,False,True
0,28.0,1,0,15.85,3,True,False,False,False,True
0,20.0,0,0,8.6625,3,False,True,False,False,True
0,34.0,1,0,21.0,2,True,False,False,False,True
0,51.0,0,0,7.75,3,True,True,False,False,True
1,3.0,1,1,18.75,2,True,False,False,False,True
0,21.0,0,0,7.775,3,True,True,False,False,True
0,28.0,3,1,25.4667,3,False,False,False,False,True
0,28.0,0,0,7.8958,3,True,True,False,False,True
0,28.0,0,0,6.8583,3,True,True,False,True,False
1,33.0,1,0,90.0,1,False,False,False,True,False
0,28.0,0,0,0.0,2,True,True,False,False,True
1,44.0,0,0,7.925,3,True,True,False,False,True
0,28.0,0,0,8.05,3,False,True,False,False,True
1,34.0,1,1,32.5,2,False,False,False,False,True
1,18.0,0,2,13.0,2,False,False,False,False,True
0,30.0,0,0,13.0,2,True,True,False,False,True
0,10.0,0,2,24.15,3,False,False,False,False,True
0,28.0,0,0,7.8958,3,True,True,True,False,False
0,21.0,0,0,7.7333,3,True,True,False,True,False
0,29.0,0,0,7.875,3,True,True,False,False,True
0,28.0,1,1,14.4,3,False,False,False,False,True
0,18.0,1,1,20.2125,3,True,False,False,False,True
0,28.0,0,0,7.25,3,True,True,False,False,True
1,28.0,1,0,26.0,2,False,False,False,False,True
1,19.0,0,0,26.0,2,False,True,False,False,True
0,28.0,0,0,7.75,3,True,True,False,True,False
1,32.0,0,0,8.05,3,True,True,False,False,True
1,28.0,0,0,26.55,1,True,True,False,False,True
1,28.0,1,0,16.1,3,False,False,False,False,True
1,42.0,1,0,26.0,2,False,False,False,False,True
0,17.0,0,0,7.125,3,True,True,False,False,True
0,50.0,1,0,55.9,1,True,False,False,False,True
1,14.0,1,2,111.18226250000001,1,False,False,False,False,True
0,21.0,2,2,34.375,3,False,False,False,False,True
1,24.0,2,3,18.75,2,False,False,False,False,True
0,64.0,1,4,111.18226250000001,1,True,False,False,False,True
0,31.0,0,0,10.5,2,True,True,False,False,True
1,45.0,1,1,26.25,2,False,False,False,False,True
0,20.0,0,0,9.5,3,True,True,False,False,True
